pulsar,jname,glitch_no,mjd,df_f,df_f_err,df1_f1,df1_f1_err,reference
J1845-0316,1845-0316,1,52128.0,30.0,1.0,-2.0,2.0,Espinoza+2011 [ elsk11 ]
J1845-0316,1845-0316,2,54170.0,72.0,1.0,3.0,2.0,Espinoza+2011 [ elsk11 ]
J1845-0316,1845-0316,3,58617.0,818.84,0.22,0.67,0.16,New - Our measurement
J1845-0743,1845-0743,1,57939.0,0.04,0.01,-0.11,0.09,Basu+2021 [ bsa+21 ]
J1846-0258,1846-0258,1,52210.0,2.5,0.2,0.93,0.01,Livingstone+2006 [ lkgk06 ]
J1846-0258,1846-0258,2,53883.0,6200.0,300.0,4.46,0.02,"Livingstone+2009 [ lkg09 ], also in Kuiper+2009 [ kh09 ]"
B1846-06,J1849-0636,1,60237.0,0.66,0.04,0.21,0.06,New - Our measurement
B1844-04,1847-0402,1,55502.0,0.52,0.04,0.04,0.03,Basu+2021 [ bsa+21 ]; also in Lower+2021 [ ljd+21 ]
B1844-04,1847-0402,2,56041.0,0.102,0.021,0.0,0.0,New - Our measurement (Shaw/Lyne)
B1844-04,1847-0402,3,58244.0,0.16,0.04,0.01,0.02,Lower+2021 [ ljd+21 ]
J1847-0130,1847-0130,1,53426.0,15.0,2.0,-3.0,2.0,Espinoza+2011 [ elsk11 ]
J1847-0130,1847-0130,2,54784.45,80.0,2.0,6.0,3.0,Espinoza+2011 [ elsk11 ]
J1847-0130,1847-0130,3,58857.79,567.0,5.0,1.2,2.0,New - Our measurement
J1849-0001,1849-0001,1,60428.0,1740.0,40.0,82.0,25.0,Kuiper+2024 [ khe+24 ]
J1849-0317,J1849-0317,1,58306.0,33.0,2.0,,,Basu+2021 [ bsa+21 ]
J1850-0026,1850-0026,1,56239.2,14.3,0.3,0.9,0.2,Basu+2021 [ bsa+21 ]
J1850-0026,1850-0026,2,56425.0,91.9,0.3,0.8,0.2,Basu+2021 [ bsa+21 ]
J1850-0026,1850-0026,3,57495.3,7.0,0.2,0.7,0.2,Basu+2021 [ bsa+21 ]
J1850-0026,1850-0026,4,57708.0,1196.7,0.2,0.8,0.2,Basu+2021 [ bsa+21 ]
J1851-0029,1851-0029,1,54493.0,0.9,0.2,-3.0,2.0,Espinoza+2011 [ elsk11 ]
J1853+0056,1853+0056,1,54970.0,5.4,0.1,0.4,0.1,Basu+2021 [ bsa+21 ]
B1853+01,1856+0113,1,54123.0,11569.0,1.0,22.0,0.2,Espinoza+2011 [ elsk11 ]
B1853+01,1856+0113,2,57325.0,3489.0,4.0,2.8,0.9,Basu+2021 [ bsa+21 ]
J1853+0545,1853+0545,1,53450.0,1.49,0.05,1.6,0.5,Yuan+2010 [ ywml10 ]
J1854-1557,1854-1557,1,58639.0,8.21,0.24,7.0,5.0,New - Our measurement
J1856+0245,1856+0245,1,56388.0,2672.5,0.7,8.4,0.3,Basu+2021 [ bsa+21 ]
