burst_id,mjd_topo,snr
B01059,60375.19941394,150.2
B01060,60375.19941445,331.8
B01061,60375.19941495,386.1
B01065,60375.19957185,82.2
B01071,60375.20025867,55.9
B01073,60375.20038554,55.4
B01075,60375.20075021,228.8
B01076,60375.20076323,395.3
B01077,60375.2007636,35.9
B01081,60375.20199924,52
B01082,60375.20199975,52
B01084,60375.20212856,34
B01085,60375.20222801,23.2
B01086,60375.20240407,119.5
B01090,60375.2024305,45.4
B01091,60375.20272087,192.3
B01092,60375.20278777,54.9
B01093,60375.20295447,64.2
B01094,60375.20296111,89.9
B01096,60375.20324768,110.6
B01100,60375.20388572,229.8
B01101,60375.20389933,64.9
B01102,60375.20394103,49.4
B01103,60375.20422201,22.6
B01104,60375.20422365,49.8
B01106,60375.20453567,38.9
B01107,60375.20472165,584.7
B01108,60375.20476796,106.2
B01110,60375.2048037,106.1
B01111,60375.2049803,298.2
B01112,60375.20507014,48.4
B01115,60375.20526495,34.7
B01116,60375.20572783,23.3
B01117,60375.2058731,33.6
B01120,60375.2059723,96.8
B01121,60375.20610668,43.5
B01123,60375.20610762,292.3
B01124,60375.20618856,230.9
B01127,60375.20649989,25.7
B01131,60375.20774726,233.4
B01132,60375.20780849,128.6
B01134,60375.20807232,28.2
B01135,60375.20807281,92.3
B01138,60375.20809345,301.9
B01141,60375.20817026,75
B01142,60375.20817037,34
B01143,60375.20817367,168.9
B01144,60375.20824321,57.6
B01148,60375.20870056,39
B01150,60375.2087978,32.7
B01153,60375.20898391,43.7
B01155,60375.209046,96.4
B01157,60375.20920374,47.3
B01158,60375.20920389,44.8
B01159,60375.20927049,466.5
B01164,60375.20961947,21.3
B01166,60375.20974515,74.5
B01167,60375.20983403,70.6
B01171,60375.21017452,178.7
B01175,60375.21026711,54.5
B01177,60375.21032061,67.9
B01179,60375.21048815,512
B01180,60375.21048833,124.9
B01184,60375.21078034,27
B01186,60375.21094288,25.5
B01187,60375.211041,73.4
B01188,60375.21121625,56.7
B01190,60375.21125793,33.7
B01191,60375.21137965,97.3
B01192,60375.21137978,47.1
B01193,60375.21149476,118.4
B01194,60375.21178003,96.8
B01195,60375.21194898,78.6
B01196,60375.2120762,329.4
B01198,60375.21225198,66.2
B01200,60375.21235145,60.5
B01201,60375.21272484,72.6
B01202,60375.21283503,44.5
B01205,60375.21295814,53
B01206,60375.21296756,33.9
B01207,60375.21296789,143.2
B01209,60375.21315655,127.7
B01211,60375.21327127,122.8
B01216,60375.21375846,26.5
B01218,60375.21383829,88.9
B01219,60375.21386882,37.3
B01220,60375.21389977,25.2
B01223,60375.21412371,38.2
B01224,60375.21413257,210.2
B01226,60375.21419094,77.4
B01227,60375.21419386,24.7
B01229,60375.21447402,66.1
B01230,60375.2149899,230.8
B01231,60375.21501485,178.6
B01236,60375.21549182,96
B01237,60375.21566592,59.8
B01239,60375.2159015,152.7
B01244,60375.21663265,64.4
B01245,60375.21694174,32.6
B01247,60375.21699241,61.7
B01251,60376.10368608,33.9
B01254,60376.10386921,24.2
B01255,60376.10390145,35.3
B01265,60376.10467466,36.6
B01268,60376.10494695,66.8
B01269,60376.10499737,99.8
B01270,60376.10514937,60.1
