repeater_name,tns_name,mjd_400,fluence_jyms,excluded_flag
FRB20200905B,FRB20200905C,59097.316383219295,3.3896077334236066,0
FRB20190303A,FRB20200909A,59101.93754245429,1.7119304643113304,0
FRB20200913C,FRB20200913C,59105.09523093272,1.3190934628838171,0
FRB20200913C,FRB20200914C,59106.10330039716,2.098003438683072,0
FRB20180916B,FRB20200919B,59111.40643079568,4.4079788325462,0
FRB20200926A,FRB20200926A,59118.10318692442,3.1681619119551003,0
FRB20200929C,FRB20200929C,59121.35512019206,9.493945602459254,0
FRB20190226B,FRB20201004B,59126.051775604654,2.408760447778651,0
FRB20200202A,FRB20201014B,59136.343827802244,25.773491134637915,0
FRB20200809E,FRB20201018C,59140.329248126516,3.118476924602618,0
FRB20191113C,FRB20201018B,59140.63909260412,1.7613509630295872,0
FRB20200619A,FRB20201022D,59144.0077164363,2.4285373396843335,1
FRB20180916B,FRB20201023B,59145.32535608867,3.764077435722836,1
FRB20190609C,FRB20201030B,59152.42714433635,3.6217973804714654,1
FRB20190303A,FRB20201103A,59156.78983738267,1.7645787658856986,1
FRB20181226F,FRB20201111A,59164.903167360775,2.016155159187039,0
FRB20201114A,FRB20201114A,59167.79997557011,4.1271460843658945,0
FRB20180916B,FRB20201123D,59176.24447383779,11.249960518080362,0
FRB20201124A,FRB20201124A,59177.36853975636,6.422206561262486,0
FRB20201124A,FRB20201124B,59177.371364483246,7.125057262039178,0
FRB20190907A,FRB20201124E,59177.49771734242,3.1060133358384974,0
FRB20200929C,FRB20201125B,59178.2001531381,nan,0
FRB20200120E,FRB20201129A,59182.56354003964,2.0735603544307915,0
FRB20201130A,FRB20201130A,59183.31902318134,7.300511463548222,0
FRB20191106C,FRB20201201A,59184.69025091077,4.288273135812101,0
FRB20190804E,FRB20201201B,59184.86068219456,1.191838964520887,0
FRB20200929C,FRB20201203C,59186.177771459545,1.7507752810148662,0
FRB20181119A,FRB20201204D,59187.65926226742,1.9330606369342045,0
FRB20201124A,FRB20201210A,59193.329663263736,24.21257688975373,0
FRB20200926A,FRB20201210B,59193.89842385737,1.359867371427719,0
FRB20190303A,FRB20201212F,59195.6812887907,1.3063675423786867,0
FRB20181128A,FRB20201215C,59198.30216276719,nan,0
FRB20190417A,FRB20201216C,59199.90826551206,3.609156476216505,0
FRB20201114A,FRB20201219A,59202.70239252428,nan,0
FRB20201221B,FRB20201221B,59204.4247531706,1.2173873108073903,0
FRB20200926A,FRB20201223A,59206.8652479901,0.6216035014914518,0
FRB20181201D,FRB20201224A,59207.857883333694,7.7339063260998735,0
FRB20201130A,FRB20201225D,59208.249328334095,nan,0
FRB20190804E,FRB20201225B,59208.79707113008,4.284973687876904,0
FRB20171019A,FRB20201227A,59210.000236563494,4.642713133246086,0
FRB20190804E,FRB20201228A,59211.786531332524,5.385710722581468,0
