mjd,mag,magerr,band
58743.265590,19.3252,0.0619,zr
58743.270382,19.2046,0.0566,zr
58743.278148,19.3414,0.0627,zr
58743.311632,19.1878,0.0559,zr
58743.322095,19.4031,0.0657,zr
58743.322546,19.2547,0.0588,zr
58744.165486,19.2390,0.0581,zr
58744.194549,19.8273,0.0765,zg
58744.268009,19.3845,0.0648,zr
58744.268461,19.2889,0.0603,zr
58744.276088,19.2816,0.0599,zr
58744.293958,19.4416,0.0676,zr
58744.300613,19.2793,0.0598,zr
58744.301065,19.2478,0.0584,zr
58744.303426,19.3307,0.0622,zr
58744.312847,19.2695,0.0594,zr
58744.326505,19.3236,0.0619,zr
58744.326944,19.3744,0.0643,zr
58744.414549,19.3961,0.0649,zr
58744.415000,19.2333,0.0574,zr
58745.166273,19.3480,0.0630,zr
58745.194676,20.1728,0.0992,zg
58745.252407,19.3749,0.0643,zr
58745.252859,19.3182,0.0616,zr
58745.288507,19.3825,0.0647,zr
58745.300278,19.3774,0.0644,zr
58745.302106,19.3304,0.0622,zr
58745.311562,19.1745,0.0553,zr
58745.312026,19.4379,0.0674,zr
58745.319028,19.4124,0.0662,zr
58745.322870,19.3056,0.0610,zr
58745.323322,19.3044,0.0610,zr
58745.374630,19.2002,0.0560,zr
58745.375081,19.3794,0.0641,zr
58746.190613,19.2663,0.0593,zr
58747.166146,19.3412,0.0627,zr
58747.194572,20.2034,0.1015,zg
58748.165266,19.4081,0.0659,zr
58748.193449,20.2224,0.1030,zg
58748.339745,19.3087,0.0608,zr
58748.340197,19.3792,0.0640,zr
58749.166759,19.3620,0.0637,zr
58749.195232,20.0284,0.0890,zg
58750.167037,19.4560,0.0684,zr
58750.195532,20.1720,0.0992,zg
58751.164664,19.3751,0.0643,zr
58751.193160,20.1644,0.0986,zg
58751.269201,20.0422,0.1177,zg
58754.164294,19.4222,0.0666,zr
58757.166481,20.2521,0.1053,zg
58757.182373,20.1838,0.1293,zg
58757.187245,20.0837,0.1211,zg
58757.224167,19.4121,0.0661,zr
58757.250278,19.3796,0.0641,zr
58757.378958,20.1833,0.1000,zg
58758.173287,19.4248,0.0668,zr
58758.209664,20.0675,0.0917,zg
58759.208576,19.4353,0.0673,zr
58759.322222,19.4447,0.0673,zr
58759.322674,19.3824,0.0642,zr
58760.165741,19.2660,0.0593,zr
58760.194028,20.2148,0.1024,zg
58760.309931,19.4193,0.0660,zr
58760.310382,19.4133,0.0657,zr
58761.164722,19.3274,0.0620,zr
58761.193044,20.2402,0.1044,zg
58762.164456,19.4829,0.0698,zr
58762.192234,20.1092,0.0946,zg
58762.264016,20.1230,0.1243,zg
58762.264468,20.0828,0.1210,zg
58763.165729,19.4292,0.0670,zr
58763.296667,19.3500,0.0627,zr
58763.297118,19.3991,0.0650,zr
58764.338900,20.0766,0.0923,zg
58764.367963,20.0308,0.1168,zg
58764.368414,20.1978,0.1305,zg
58764.406088,19.4245,0.0668,zr
58765.203229,19.5321,0.0719,zr
58765.203669,19.4142,0.0658,zr
58765.285370,20.2068,0.1313,zg
58766.258646,19.8560,0.1035,zg
58771.262731,19.4403,0.0676,zr
58772.191389,19.9371,0.1096,zg
58772.191840,20.1193,0.1240,zg
58774.187593,20.1694,0.0990,zg
58777.194838,19.4489,0.0680,zr
58781.187743,19.9373,0.0831,zg
58781.189109,20.1689,0.1281,zg
58781.189560,19.9076,0.1073,zg
58782.249861,20.1364,0.1254,zg
58782.250313,20.2161,0.1321,zg
58783.189294,20.3477,0.1434,zg
58783.189745,20.1910,0.1300,zg
58785.224271,20.0858,0.0929,zg
58785.239005,19.3206,0.0617,zr
58788.216238,19.3886,0.0650,zr
58790.138762,19.4482,0.0680,zr
58791.113819,19.3408,0.0627,zr
58791.160706,20.1702,0.1282,zg
58791.161157,20.3234,0.1413,zg
58791.162523,19.9407,0.0833,zg
58791.172188,20.0073,0.0876,zg
58792.155417,19.4234,0.0667,zr
58793.207569,20.1686,0.1281,zg
58793.208032,20.2041,0.1311,zg
58794.117199,19.4580,0.0685,zr
58794.173912,20.0822,0.0927,zg
58795.152176,20.1367,0.0966,zg
58795.163079,20.1018,0.1226,zg
58796.156678,20.1223,0.0955,zg
58796.196563,19.9397,0.1098,zg
58796.197014,20.0499,0.1184,zg
58797.114769,19.4103,0.0660,zr
58797.163299,19.9044,0.0811,zg
58797.174005,20.1696,0.0990,zg
