t_days,flux,flux_err
3046.55,0.0416057,0.00847071
3052.33,0.0408722,0.00745023
3057.16,0.053655,0.00856982
3068.31,0.0230615,0.00828264
3069.31,0.0201285,0.00844644
3071.44,0.0275583,0.0085665
3072.57,0.0550131,0.00889488
3075.47,0.0258673,0.00814553
3082.45,0.0421648,0.00857781
3083.12,0.0325289,0.00887119
3084.96,0.0418675,0.00870439
3090.29,0.0506044,0.00881788
3094.46,0.050043,0.00961811
3096.46,0.052186,0.009682
3101.97,0.0530371,0.00958112
3103.43,0.0352079,0.00926688
3104.69,0.0557537,0.00958565
3109.26,0.0484606,0.00828929
3219.28,0.0580055,0.00895146
3223.06,0.044329,0.00946389
3227.84,0.038422,0.00702816
3230.5,0.0563796,0.00804184
3232.69,0.0498665,0.00958046
3234.94,0.048763,0.00831842
3240.58,0.0596321,0.00846087
3243.77,0.035457,0.0080393
3246.49,0.0269483,0.0101728
3250.34,0.0505727,0.0127235
3256.84,0.0210489,0.00771414
3258.36,0.0283609,0.00700592
3260.16,0.0171365,0.00635837
3262.88,0.0669141,0.0171389
3278.07,0.0326054,0.010796
3286.49,0.0259089,0.00681722
3288.48,0.0447022,0.0100044
3311.1,0.0385684,0.00908671
3312.56,0.0224229,0.00942532
3315.53,0.0475409,0.00967537
3319.58,0.0795954,0.0175408
3331.51,0.0332116,0.00967812
3332.58,0.0606226,0.00875644
3339.95,0.0472966,0.0101774
3349.82,0.0370208,0.0100501
3357.31,0.0397928,0.012415
3359.37,0.0545645,0.00866724
3367.4,0.0405758,0.01004
3370.44,0.0539167,0.0107313
3378.81,0.0484169,0.00741043
3380.33,0.0323055,0.00775729
3387.62,0.045695,0.00696827
3394.25,0.047296,0.00868564
3395.1,0.0368375,0.00889845
3398.16,0.0377389,0.00895239
3399.83,0.0238095,0.0122915
3402.41,0.0420797,0.00856932
3403.53,0.0574363,0.0121499
3404.52,0.036063,0.0120158
3406.51,0.0482493,0.00936689
3407.3,0.0590007,0.0143592
3412.29,0.0375688,0.00975275
3422.16,0.0514047,0.00941574
3423.22,0.0399689,0.00735436
3426.48,0.0402452,0.0075833
3427.59,0.0435781,0.00891374
3429.65,0.0343873,0.00964735
3430.94,0.0532923,0.0114053
3433.63,0.0378831,0.00912752
3435.36,0.0397145,0.00909683
3439.52,0.0603495,0.0123164
3441.05,0.032362,0.00772149
3447.95,0.0348107,0.00752213
3449.27,0.0533962,0.0100039
3451.52,0.05778,0.00943353
3452.84,0.0439814,0.00904027
3453.44,0.0507942,0.00971461
3457.49,0.0294798,0.00749272
3475.05,0.0421721,0.00913867
3570.26,0.0996681,0.0168375
3572.37,0.0428115,0.00834711
3587.07,0.0370698,0.00996383
3594.55,0.022921,0.00864137
3597.16,0.0489804,0.0082958
3597.73,0.0883063,0.0187576
3598.8,0.0577889,0.00982876
3605.47,0.0579648,0.0120278
3615.6,0.0508171,0.00830782
3626.93,0.0271842,0.00753513
3630.02,0.058574,0.00847409
3640.32,0.0513545,0.00711725
3642.63,0.0360346,0.00567917
3643.73,0.0418824,0.00884243
3648.74,0.0472694,0.00917756
3653.97,0.0381187,0.0079495
3660.2,0.0438269,0.00918346
3665.78,0.0756459,0.0143772
3668.6,0.0383291,0.00863656
3672.69,0.0318895,0.0111541
3675.53,0.0510526,0.00983876
3684.59,0.0794285,0.0176282
3692.52,0.0376305,0.00961531
3712.77,0.0368979,0.011127
3722.56,0.0423032,0.0104431
3729.82,0.423274,0.0354947
3738.82,0.0305825,0.0179387
3742.44,0.0475672,0.010726
3750.7,0.048247,0.009351
3761.35,0.0533963,0.00825273
3762.21,0.054597,0.0102031
